iter	Passed	Remaining
0	79	23772
1	94	14048
2	111	11004
3	126	9373
4	142	8416
5	158	7767
6	174	7295
7	189	6924
8	205	6659
9	221	6415
10	236	6211
11	251	6029
12	266	5893
13	282	5769
14	297	5661
15	315	5597
16	330	5507
17	348	5464
18	363	5379
19	379	5315
20	395	5253
21	409	5178
22	425	5119
23	439	5059
24	458	5039
25	473	4988
26	489	4946
27	505	4911
28	521	4869
29	536	4832
30	552	4794
31	567	4755
32	583	4724
33	601	4707
34	617	4678
35	634	4653
36	650	4624
37	666	4596
38	683	4571
39	698	4542
40	715	4521
41	732	4498
42	748	4472
43	764	4449
44	781	4427
45	797	4403
46	812	4374
47	827	4346
48	844	4323
49	860	4303
50	877	4283
51	893	4263
52	911	4250
53	928	4229
54	945	4210
55	960	4184
56	976	4164
57	992	4140
58	1007	4116
59	1023	4093
60	1038	4067
61	1053	4045
62	1070	4027
63	1086	4006
64	1102	3985
65	1118	3964
66	1132	3939
67	1148	3918
68	1164	3898
69	1191	3913
70	1206	3891
71	1223	3874
72	1241	3861
73	1258	3844
74	1273	3821
75	1289	3799
76	1306	3783
77	1321	3762
78	1337	3742
79	1353	3723
80	1369	3703
81	1385	3682
82	1403	3668
83	1419	3649
84	1435	3630
85	1452	3614
86	1469	3596
87	1484	3576
88	1500	3557
89	1517	3539
90	1532	3519
91	1548	3501
92	1565	3483
93	1580	3464
94	1596	3444
95	1613	3427
96	1628	3408
97	1644	3389
98	1660	3371
99	1676	3353
100	1692	3335
101	1707	3314
102	1724	3298
103	1742	3283
104	1758	3265
105	1774	3247
106	1790	3230
107	1806	3211
108	1822	3194
109	1838	3175
110	1854	3156
111	1868	3137
112	1885	3119
113	1899	3099
114	1915	3081
115	1930	3062
116	1945	3043
117	1965	3031
118	1980	3012
119	1996	2994
120	2012	2976
121	2027	2958
122	2043	2940
123	2059	2923
124	2075	2905
125	2090	2887
126	2107	2870
127	2122	2852
128	2137	2834
129	2153	2815
130	2168	2797
131	2183	2779
132	2198	2760
133	2215	2745
134	2232	2728
135	2247	2710
136	2263	2693
137	2279	2675
138	2298	2662
139	2317	2648
140	2333	2631
141	2350	2615
142	2366	2598
143	2382	2581
144	2397	2563
145	2412	2545
146	2429	2528
147	2446	2512
148	2463	2496
149	2479	2479
150	2496	2463
151	2512	2446
152	2530	2431
153	2547	2414
154	2563	2398
155	2579	2380
156	2594	2363
157	2610	2345
158	2625	2328
159	2640	2310
160	2656	2293
161	2672	2276
162	2688	2259
163	2704	2242
164	2719	2224
165	2734	2207
166	2749	2189
167	2764	2172
168	2779	2154
169	2794	2137
170	2810	2120
171	2825	2102
172	2840	2085
173	2856	2068
174	2872	2051
175	2887	2034
176	2902	2017
177	2917	1999
178	2933	1982
179	2948	1965
180	2963	1948
181	2980	1932
182	3000	1918
183	3020	1904
184	3036	1887
185	3052	1871
186	3069	1854
187	3085	1838
188	3101	1821
189	3121	1807
190	3138	1790
191	3153	1774
192	3169	1757
193	3186	1741
194	3202	1724
195	3217	1707
196	3233	1690
197	3250	1674
198	3265	1657
199	3281	1640
200	3297	1624
201	3317	1609
202	3335	1593
203	3352	1577
204	3366	1559
205	3382	1543
206	3398	1526
207	3413	1509
208	3429	1493
209	3446	1476
210	3462	1460
211	3478	1443
212	3493	1426
213	3508	1410
214	3524	1393
215	3541	1377
216	3557	1360
217	3573	1344
218	3590	1327
219	3605	1311
220	3621	1294
221	3637	1278
222	3652	1261
223	3667	1244
224	3683	1227
225	3698	1210
226	3713	1194
227	3729	1177
228	3744	1161
229	3761	1144
230	3777	1128
231	3792	1111
232	3809	1095
233	3827	1079
234	3844	1063
235	3859	1046
236	3875	1030
237	3891	1013
238	3907	997
239	3924	981
240	3941	964
241	3957	948
242	3973	932
243	3990	915
244	4005	899
245	4022	882
246	4037	866
247	4053	849
248	4068	833
249	4084	816
250	4100	800
251	4117	784
252	4135	768
253	4151	751
254	4167	735
255	4183	718
256	4198	702
257	4213	685
258	4229	669
259	4245	653
260	4259	636
261	4274	619
262	4290	603
263	4306	587
264	4322	570
265	4338	554
266	4355	538
267	4371	521
268	4386	505
269	4402	489
270	4417	472
271	4432	456
272	4448	439
273	4463	423
274	4478	407
275	4494	390
276	4509	374
277	4524	358
278	4540	341
279	4556	325
280	4572	309
281	4590	293
282	4605	276
283	4623	260
284	4639	244
285	4656	227
286	4673	211
287	4689	195
288	4704	179
289	4720	162
290	4736	146
291	4752	130
292	4769	113
293	4785	97
294	4802	81
295	4818	65
296	4834	48
297	4850	32
298	4867	16
299	4886	0
